Unnamed: 0,County,List Price,Style,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,Close Date,Close Price,Concessions Amt ,Subdivision/Neighborhood,Status
229,Prince George's County,"$500,000 ",Colonial,3,3,1,3,1,Yes,5150,1988,6/30/2021,,,,
230,Montgomery County,"$500,000 ",Split Level,5,3,,4,1,Yes,11784,1972,7/9/2021,,,,
231,Montgomery County,"$500,450 ",Colonial,4,3,1,2,1,Yes,10206,1986,9/21/2021,,,,
232,Howard County,"$509,900 ",Ranch/Rambler,3,2,1,2,2,Yes,29403,1957,7/23/2021,,,,
233,Montgomery County,"$510,000 ",Split Foyer,4,2,1,2,,Yes,11339,1960,9/21/2021,,,,
234,Montgomery County,"$510,000 ",Split Level,4,2,,4,1,Yes,11438,1963,9/21/2021,,,,
235,Anne Arundel County,"$510,000 ",Colonial,3,2,1,3,1,Yes,7060,1994,7/15/2021,,,,
236,Montgomery County,"$515,000 ",Contemporary,4,2,,2,,Yes,6000,1957,9/21/2021,,,,
237,Howard County,"$518,000 ",Split Foyer,4,3,,2.5,1,Yes,21189,1973,9/21/2021,,,,
238,Montgomery County,"$519,000 ",Traditional,4,3,,2,1,Yes,6500,1933,9/21/2021,,,,
239,Montgomery County,"$519,900 ",Split Level,3,2,1,4,1,Yes,10500,1984,9/21/2021,,,,
240,Howard County,"$519,900 ",Ranch/Rambler,3,3,,2,1,Yes,24132,1964,9/21/2021,,,,
241,Baltimore County,"$520,000 ",Colonial,2,2,,3,,Yes,6499,1900,9/21/2021,,,,
242,Montgomery County,"$520,000 ",Cape Cod,3,2,,3,1,Yes,7125,1941,9/21/2021,,,,
243,Montgomery County,"$520,000 ",Split Level,3,2,1,3,1,Yes,25209,1964,7/16/2021,,,,
244,Montgomery County,"$520,000 ",Colonial,4,2,0,3,,Yes,8104,1958,7/26/2021,,,,
245,Montgomery County,"$523,000 ",Ranch/Rambler,4,3,,2,,Yes,11000,1963,9/21/2021,,,,
246,Howard County,"$524,900 ",Ranch/Rambler,3,3,,2,1,Yes,20037,1961,9/21/2021,,,,
247,Carroll County,"$524,900 ",Ranch/Rambler,4,3,,2,1,Yes,65340,1971,9/21/2021,,,,
248,Montgomery County,"$524,900 ",Colonial,4,2,2,3,1,Yes,9270,1986,7/13/2021,,,,
249,Howard County,"$525,000 ",Split Foyer,3,3,,3,1,Yes,21475,1965,9/21/2021,,,,
250,Howard County,"$525,000 ",Ranch/Rambler,4,3,1,3,,No,9447,2000,9/21/2021,,,,
251,Carroll County,"$525,000 ",Colonial,4,2,1,3.5,,Yes,32234,2019,9/21/2021,,,,
252,Montgomery County,"$525,000 ",Bungalow,3,2,1,2,,Yes,5460,1950,9/21/2021,,,,
253,Montgomery County,"$525,000 ",Colonial,3,1,1,3,,Yes,6405,1948,9/21/2021,,,,
254,Montgomery County,"$525,000 ",Traditional,4,3,,3,1,Yes,8297,1941,9/21/2021,,,,
255,Montgomery County,"$525,000 ",Cape Cod,4,2,,3,,Yes,7262,1974,9/21/2021,,,,
256,Montgomery County,"$525,000 ",Split Level,4,2,,3,,Yes,6825,1959,9/21/2021,,,,
257,Howard County,"$525,000 ",Ranch/Rambler,3,2,,2,1,Yes,43124,1963,9/21/2021,,,,
258,Montgomery County,"$525,000 ",Colonial,4,3,,2,1,No,15276,1970,9/21/2021,,,,
259,Howard County,"$525,000 ",Traditional,4,2,2,3,1,Yes,11533,1972,9/21/2021,,,,
260,Howard County,"$525,000 ",Split Level,4,3,,2,1,Yes,20080,2001,9/21/2021,,,,
261,Montgomery County,"$525,000 ",Traditional,4,2,1,2,1,No,5423,1967,7/16/2021,,,,
262,Montgomery County,"$525,000 ",Split Level,4,3,,4,1,Yes,12453,1960,7/30/2021,,,,
263,Montgomery County,"$529,000 ",Split Foyer,5,2,,2,,Yes,9000,1962,8/2/2021,,,,
264,Montgomery County,"$529,000 ",Split Foyer,4,2,1,2,,Yes,9954,1962,8/4/2021,,,,
265,Howard County,"$529,900 ",Colonial,5,3,1,3,1,Yes,17990,1988,9/21/2021,,,,
266,Montgomery County,"$529,900 ",Contemporary,4,2,1,3,1,Yes,4050,1968,9/21/2021,,,,
267,Montgomery County,"$529,999 ",Ranch/Rambler,4,3,,2,1,Yes,9067,1966,7/8/2021,,,,
268,Montgomery County,"$529,999 ","Cape Cod, Contemporary",4,2,1,4,,Yes,6954,1957,7/31/2021,,,,
269,Montgomery County,"$530,000 ",Ranch/Rambler,3,2,,2,,Yes,11664,1964,9/21/2021,,,,
270,Montgomery County,"$530,900 ",Split Level,4,2,1,3,1,Yes,8846,1960,9/21/2021,,,,
